stock_code,corp_name,year,word_count,filename,start_page,end_page
064350,현대로템,2024,6566,064350_현대로템.pdf,16,39
006090,사조오양,2024,4484,006090_사조오양.pdf,15,41
006660,삼성공조,2024,5340,006660_삼성공조.pdf,16,45
120110,코오롱인더,2024,11952,120110_코오롱인더.pdf,23,60
[정정]010960,삼호개발,2024,2616,[정정]010960_삼호개발.pdf,17,28
012600,청호ICT,2024,3149,012600_청호ICT.pdf,17,31
007570,일양약품,2024,5868,007570_일양약품.pdf,14,43
010640,진양폴리우레탄,2024,2640,010640_진양폴리우레탄.pdf,5,17
000070,삼양홀딩스,2024,10204,000070_삼양홀딩스.pdf,17,54
365550,ESR켄달스퀘어리츠,2024,1552,365550_ESR켄달스퀘어리츠.pdf,11,23
009900,명신산업,2024,4574,009900_명신산업.pdf,15,38
007460,에이프로젠,2024,12461,007460_에이프로젠.pdf,59,115
025540,한국단자공업,2024,2382,025540_한국단자공업.pdf,11,23
004720,팜젠사이언스,2024,15953,004720_팜젠사이언스.pdf,5,80
108320,LX세미콘,2024,2274,108320_LX세미콘.pdf,11,21
105840,우진,2024,197,105840_우진.pdf,12,12
[정정]011170,롯데케미칼,2024,18146,[정정]011170_롯데케미칼.pdf,128,189
034310,NICE,2024,15119,034310_NICE.pdf,17,71
047400,유니온머티리얼,2024,5526,047400_유니온머티리얼.pdf,14,45
[정정]031440,신세계푸드,2024,6113,[정정]031440_신세계푸드.pdf,27,60
009160,SIMPAC,2024,4895,009160_SIMPAC.pdf,12,33
[정정]085620,미래에셋생명,2024,4679,[정정]085620_미래에셋생명.pdf,2,27
030200,케이티,2024,45301,030200_케이티.pdf,7,155
[정정]032830,삼성생명,2024,17707,[정정]032830_삼성생명.pdf,2,82
010580,에스엠벡셀,2024,6320,010580_에스엠벡셀.pdf,5,33
003960,사조대림,2024,6276,003960_사조대림.pdf,19,48
175330,JB금융지주,2024,28484,175330_JB금융지주.pdf,19,116
[정정]009270,신원,2024,3325,[정정]009270_신원.pdf,18,36
[정정]042670,HD현대인프라코어,2024,6210,[정정]042670_HD현대인프라코어.pdf,29,52
[정정]035720,카카오,2024,20523,[정정]035720_카카오.pdf,3,79
001040,CJ,2024,30933,001040_CJ.pdf,19,132
[정정]055550,신한지주,2024,37211,[정정]055550_신한지주.pdf,19,134
[정정]006360,GS건설,2024,0,[정정]006360_GS건설.pdf,4,4
[정정]015760,한국전력공사,2024,0,[정정]015760_한국전력공사.pdf,51,51
004450,삼화왕관,2024,3946,004450_삼화왕관.pdf,11,33
011930,신성이엔지,2024,1703,011930_신성이엔지.pdf,24,32
091090,세원이앤씨,2024,3950,091090_세원이앤씨.pdf,26,42
004800,효성,2024,6635,004800_효성.pdf,7,31
462520,조선내화,2024,3565,462520_조선내화.pdf,11,29
[정정]002140,고려산업,2024,4197,[정정]002140_고려산업.pdf,19,42
[정정]089470,HDC현대EP,2024,5408,[정정]089470_HDC현대EP.pdf,14,35
002710,TCC스틸,2024,4031,002710_TCC스틸.pdf,11,26
[정정]005820,원림,2024,4887,[정정]005820_원림.pdf,17,42
044450,KSS해운,2024,4071,044450_KSS해운.pdf,15,32
[정정]042660,한화오션,2024,7429,[정정]042660_한화오션.pdf,39,66
012450,한화에어로스페이스,2024,10420,012450_한화에어로스페이스.pdf,25,56
093230,이아이디,2024,4759,093230_이아이디.pdf,18,39
005850,에스엘,2024,5054,005850_에스엘.pdf,21,50
004090,한국석유공업,2024,5078,004090_한국석유공업.pdf,15,37
[정정]001270,부국증권,2024,8956,[정정]001270_부국증권.pdf,12,50
[정정]000270,기아,2024,7692,[정정]000270_기아.pdf,27,64
003570,SNT다이내믹스,2024,2959,003570_SNT다이내믹스.pdf,16,29
185750,종근당,2024,9174,185750_종근당.pdf,5,53
010400,우진아이엔에스,2024,6919,010400_우진아이엔에스.pdf,12,46
004980,성신양회,2024,4167,004980_성신양회.pdf,19,36
006890,태경케미컬,2024,2343,006890_태경케미컬.pdf,20,34
088260,이리츠코크렙,2024,322,088260_이리츠코크렙.pdf,13,18
006400,삼성SDI,2024,4600,006400_삼성SDI.pdf,15,33
011200,HMM,2024,5434,011200_HMM.pdf,18,39
241560,두산밥캣,2024,7083,241560_두산밥캣.pdf,14,41
001200,유진증권,2024,6076,001200_유진증권.pdf,15,41
005800,신영와코루,2024,3958,005800_신영와코루.pdf,6,25
012330,현대모비스,2024,7779,012330_현대모비스.pdf,23,50
006980,우성,2024,3322,006980_우성.pdf,13,30
[정정]069460,대호에이엘,2024,2,[정정]069460_대호에이엘.pdf,2,2
011780,금호석유화학,2024,12465,011780_금호석유화학.pdf,20,77
004360,세방,2024,4866,004360_세방.pdf,14,34
008110,대동전자,2024,1302,008110_대동전자.pdf,13,20
037560,LG헬로비전,2024,10400,037560_LG헬로비전.pdf,5,45
011700,한신기계공업,2024,2880,011700_한신기계공업.pdf,10,25
090370,메타랩스,2024,5314,090370_메타랩스.pdf,18,42
357120,코람코라이프인프라리츠,2024,4538,357120_코람코라이프인프라리츠.pdf,4,26
002810,삼영무역,2024,2588,002810_삼영무역.pdf,10,20
[정정]307950,현대오토에버,2024,7530,[정정]307950_현대오토에버.pdf,24,49
241590,화승엔터프라이즈,2024,8043,241590_화승엔터프라이즈.pdf,6,44
000540,흥국화재,2024,3997,000540_흥국화재.pdf,5,22
001800,오리온홀딩스,2024,15014,001800_오리온홀딩스.pdf,5,67
134380,미원화학,2024,2621,134380_미원화학.pdf,6,19
[정정]006260,LS,2024,22598,[정정]006260_LS.pdf,60,149
111770,영원무역,2024,0,111770_영원무역.pdf,-1,-1
012170,아센디오,2024,1091,012170_아센디오.pdf,17,23
[정정]011780,금호석유화학,2024,18913,[정정]011780_금호석유화학.pdf,3,87
286940,롯데이노베이트,2024,12881,286940_롯데이노베이트.pdf,6,52
[정정]003000,부광약품,2024,5291,[정정]003000_부광약품.pdf,44,71
058860,KTis,2024,6639,058860_KTis.pdf,19,42
004060,SG세계물산,2024,2316,004060_SG세계물산.pdf,18,29
[정정]009450,경동나비엔,2024,2700,[정정]009450_경동나비엔.pdf,30,43
[정정]000150,두산,2024,36690,[정정]000150_두산.pdf,29,145
003670,포스코퓨처엠,2024,6001,003670_포스코퓨처엠.pdf,21,41
012610,경인양행,2024,8398,012610_경인양행.pdf,6,37
